<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/11	1	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/newMode#_0
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/13	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack56
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/6	1	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack23
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/18	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack27
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/if/1	1	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack4
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/0	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack119
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/if/1	2	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack3
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/if/2	1	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack40
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/4	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack7
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/16	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack19
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/12	2	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack11
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/12	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack62
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/3	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack6
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/if/6	1	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack12
<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>/if/0	2	<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>/$stack3
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/0	1	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/newMode#_0
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/3	2	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack6
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/if/5	2	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack9
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/7	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack10
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/2	1	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/newMode#_0
<simplejavacalculator.UI: void init()>/if/0	2	<simplejavacalculator.UI: void init()>/$stack209
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/if/0	2	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack1
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/4	1	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/newMode#_0
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/2	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack5
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/4	2	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack7
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/10	1	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/newMode#_0
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/4	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack110
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/13	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack16
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/0	2	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack3
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/12	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack15
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/18	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack21
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/5	2	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack8
<simplejavacalculator.UI: void init()>/if/1	2	<simplejavacalculator.UI: void init()>/$stack204
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/5	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack104
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/if/3	2	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack5
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/5	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack8
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/11	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack14
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/8	1	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack30
<simplejavacalculator.UI: void writer(java.lang.Double)>/if/0	1	<simplejavacalculator.UI: void writer(java.lang.Double)>/$stack3
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/2	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/source#_220
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/17	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack32
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/3	1	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/newMode#_0
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/3	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack116
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/6	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack9
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/10	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack74
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/9	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack80
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/1	1	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/source#_220
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/10	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack13
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/if/4	1	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack8
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/10	2	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack9
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/if/14	2	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/$stack17
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/if/11	2	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack10
<simplejavacalculator.UI: void <init>()>/if/0	2	<simplejavacalculator.UI: void <init>()>/$stack50
<simplejavacalculator.UI: void <init>()>/if/0	1	<simplejavacalculator.UI: void <init>()>/$stack51
