num#_323	427	426		macrodef	macrodef	1
num#_323	671	1		target	target	1
num#_323	579	567		taskdef	taskdef	1
num#_323	76	75		isset	isset	1
num#_323	85	19		property	property	1
num#_323	919	918		propertyref	propertyref	1
num#_323	162	152		attribute	attribute	1
num#_323	746	740		profile	profile	1
num#_323	546	545		attribute	attribute	1
num#_323	697	696	http://www.netbeans.org/ns/j2se-project/1	java	j2seproject1:java	1
num#_323	852	1		target	target	1
num#_323	624	1		target	target	1
num#_323	172	168		classpath	classpath	1
num#_323	807	806		classpath	classpath	1
num#_323	455	451		attribute	attribute	1
num#_323	376	373		attribute	attribute	1
num#_323	674	671		property	property	1
num#_323	150	149		property	property	1
num#_323	439	435		attribute	attribute	1
num#_323	415	414		matches	matches	1
num#_323	620	1		target	target	1
num#_323	750	749		classpath	classpath	1
num#_323	265	257		customize	customize	1
num#_323	701	700		property	property	1
num#_323	861	860		fail	fail	1
num#_323	619	1		target	target	1
num#_323	829	828	http://www.netbeans.org/ns/j2se-project/3	javac	j2seproject3:javac	1
num#_323	869	867	http://www.netbeans.org/ns/j2se-project/3	test-debug	j2seproject3:test-debug	1
num#_323	289	1		target	target	1
num#_323	366	361		formatter	formatter	1
num#_323	641	1		target	target	1
num#_323	828	1		target	target	1
num#_323	157	152		attribute	attribute	1
num#_323	363	361		syspropertyset	syspropertyset	1
num#_323	40	39		istrue	istrue	1
num#_323	770	760		formatter	formatter	1
num#_323	522	510		condition	condition	1
num#_323	907	1		target	target	1
num#_323	211	1		target	target	1
num#_323	531	530		jvmarg	jvmarg	1
num#_323	169	168		src	src	1
num#_323	502	501		classpath	classpath	1
num#_323	118	19		available	available	1
num#_323	525	524		macrodef	macrodef	1
num#_323	73	71		isset	isset	1
num#_323	489	488		propertyref	propertyref	1
num#_323	738	737		path	path	1
num#_323	140	134		fail	fail	1
num#_323	403	397		sequential	sequential	1
num#_323	442	435		sequential	sequential	1
num#_323	274	273		property	property	1
num#_323	30	28		not	not	1
num#_323	318	1		target	target	1
num#_323	844	843		mkdir	mkdir	1
num#_323	827	826	http://www.netbeans.org/ns/j2se-project/3	depend	j2seproject3:depend	1
num#_323	6	1		target	target	1
num#_323	109	19		condition	condition	1
num#_323	920	918		mapper	mapper	1
num#_323	7	1		target	target	1
num#_323	27	19		condition	condition	1
num#_323	269	267		attribute	attribute	1
num#_323	712	1		target	target	1
num#_323	625	624		mkdir	mkdir	1
num#_323	841	1		target	target	1
num#_323	893	892		property	property	1
num#_323	113	112		os	os	1
num#_323	200	198		mkdir	mkdir	1
num#_323	346	345		customize	customize	1
num#_323	764	760		test	test	1
num#_323	278	277		filename	filename	1
num#_323	574	572		chainedmapper	chainedmapper	1
num#_323	648	1		target	target	1
num#_323	102	19		condition	condition	1
num#_323	29	28		isset	isset	1
num#_323	440	435		attribute	attribute	1
num#_323	93	91		not	not	1
num#_323	463	461		mapper	mapper	1
num#_323	520	510		condition	condition	1
num#_323	705	1		target	target	1
num#_323	866	1		target	target	1
num#_323	643	1		target	target	1
num#_323	312	310		attribute	attribute	1
num#_323	43	42		and	and	1
num#_323	399	397		attribute	attribute	1
num#_323	753	752		customize	customize	1
num#_323	426	1		target	target	1
num#_323	147	146		attribute	attribute	1
num#_323	814	806		arg	arg	1
num#_323	292	290		attribute	attribute	1
num#_323	315	310		element	element	1
num#_323	320	319		attribute	attribute	1
num#_323	473	472		property	property	1
num#_323	270	267		attribute	attribute	1
num#_323	567	564		sequential	sequential	1
num#_323	849	1		target	target	1
num#_323	631	627	http://www.netbeans.org/ns/j2se-project/3	depend	j2seproject3:depend	1
num#_323	769	767		mapper	mapper	1
num#_323	239	238		isset	isset	1
num#_323	901	897		antcall	antcall	1
num#_323	124	123		available	available	1
num#_323	391	381		formatter	formatter	1
num#_323	644	643		fail	fail	1
num#_323	811	806		fileset	fileset	1
num#_323	730	728		property	property	1
num#_323	134	1		target	target	1
num#_323	323	319		attribute	attribute	1
num#_323	527	525		attribute	attribute	1
num#_323	747	1		target	target	1
bis#_19	2	1	http://www.netbeans.org/ns/project/1	type	type	1
num#_323	160	152		attribute	attribute	1
num#_323	496	495		macrodef	macrodef	1
num#_323	551	550		java	java	1
num#_323	142	134		fail	fail	1
num#_323	670	669		attribute	attribute	1
num#_323	237	236		istrue	istrue	1
num#_323	429	427		attribute	attribute	1
num#_323	37	19		condition	condition	1
num#_323	709	708	http://www.netbeans.org/ns/j2se-project/1	nbjpdastart	j2seproject1:nbjpdastart	1
num#_323	720	1		target	target	1
num#_323	789	1		target	target	1
num#_323	713	712	http://www.netbeans.org/ns/j2se-project/3	debug	j2seproject3:debug	1
num#_323	186	185		macrodef	macrodef	1
num#_323	136	134		fail	fail	1
num#_323	462	461		propertyref	propertyref	1
num#_323	826	1		target	target	1
num#_323	649	1		target	target	1
num#_323	281	275		syspropertyset	syspropertyset	1
num#_323	74	19		condition	condition	1
num#_323	663	662		manifest	manifest	1
num#_323	479	477		resolve	resolve	1
num#_323	513	512		or	or	1
num#_323	564	563		macrodef	macrodef	1
num#_323	581	580		fileset	fileset	1
