<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/fresh-null-assign/17	43	8	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$numconstant8	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	0
<simplejavacalculator.UI: void init()>/fresh-null-assign/2	7	1	<simplejavacalculator.UI: void init()>/$numconstant2	<simplejavacalculator.UI: void init()>	0
<simplejavacalculator.UI: void init()>/assign/2	27	0	<simplejavacalculator.UI: void init()>/i_$$A_1#_126	<simplejavacalculator.UI: void init()>	0
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/fresh-null-assign/1	3	0	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$numconstant0	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	0
<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>/fresh-null-assign/0	7	0.0	<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>/$numconstant0	<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>	0
<simplejavacalculator.UI: void init()>/fresh-null-assign/11	181	210	<simplejavacalculator.UI: void init()>/$numconstant10	<simplejavacalculator.UI: void init()>	0
<simplejavacalculator.UI: void init()>/assign/53	231	1	<simplejavacalculator.UI: void init()>/i_$$A_1_$$A_3#_197	<simplejavacalculator.UI: void init()>	0
<simplejavacalculator.UI: void init()>/fresh-null-assign/8	114	15	<simplejavacalculator.UI: void init()>/$numconstant7	<simplejavacalculator.UI: void init()>	0
<simplejavacalculator.UI: void init()>/fresh-null-assign/1	4	450	<simplejavacalculator.UI: void init()>/$numconstant1	<simplejavacalculator.UI: void init()>	0
<simplejavacalculator.UI: void init()>/fresh-null-assign/9	139	15	<simplejavacalculator.UI: void init()>/$numconstant8	<simplejavacalculator.UI: void init()>	0
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/fresh-null-assign/5	13	2	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$numconstant2	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	0
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/fresh-null-assign/11	28	5	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$numconstant5	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	0
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/fresh-null-assign/11	28	5	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$numconstant5	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>	0
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/fresh-null-assign/15	38	7	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$numconstant7	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	0
